word	level	grade	pos	meaning	meaningAlt	synonyms	tags	freq	example	exampleKo	image
salty	3	elementary_4	adjective	짠			taste	mid	The soup is too salty.	그 수프는 너무 짜다.
spicy	3	elementary_4	adjective	매운			taste	mid	This soup is spicy.	이 수프는 맵다.
bitter	3	elementary_4	adjective	쓴맛의			taste	low	The medicine tastes bitter.	그 약은 쓴맛이 난다.
parents	3	elementary_4	noun	부모			family	high	My parents work together.	우리 부모는 함께 일한다.
cousin	3	elementary_4	noun	사촌			family	mid	My cousin visits us today.	내 사촌이 오늘 우리를 방문한다.
uncle	3	elementary_4	noun	삼촌			family	mid	My uncle drives a taxi.	우리 삼촌은 택시를 운전한다.
aunt	3	elementary_4	noun	이모			family	mid	My aunt teaches science.	우리 이모는 과학을 가르친다.
baby	3	elementary_4	noun	아기			family	high	The baby sleeps quietly.	그 아기는 조용히 잔다.
child	3	elementary_4	noun	아이			family	high	Every child needs sleep.	모든 아이는 잠이 필요하다.
adult	3	elementary_4	noun	어른			family	mid	One adult waits outside.	어른 한 명이 밖에서 기다린다.
neighbor	3	elementary_4	noun	이웃			family	mid	Our neighbor has two dogs.	우리 이웃은 개 두 마리를 기른다.
tea	3	elementary_4	noun	차(음료)			food|drink	high	Grandmother drinks warm tea.	할머니는 따뜻한 차를 마신다.
coffee	3	elementary_4	noun	커피			food|drink	high	Dad drinks coffee every morning.	아빠는 매일 아침 커피를 마신다.
soda	3	elementary_4	noun	탄산음료			food|drink	mid	Too much soda is bad.	탄산음료를 너무 많이 마시면 나쁘다.
