word	level	grade	pos	meaning	meaningAlt	synonyms	tags	freq	example	exampleKo	image
expect	7	middle_1	verb	기대하다			thought|emotion	high	We expect good weather tomorrow.	우리는 내일 좋은 날씨를 기대한다.
suppose	7	middle_1	verb	가정하다			thought	mid	Suppose you have one hundred books.	책 백 권이 있다고 가정해 보라.
judge	7	middle_1	verb	판단하다			thought	mid	Do not judge a book by its cover.	표지로 책을 판단하지 마라.
society	7	middle_1	noun	사회			society	high	Every society has its own rules.	모든 사회는 자기 규칙이 있다.
government	7	middle_1	noun	정부			society	mid	The government built a new bridge.	정부가 새 다리를 지었다.
law	7	middle_1	noun	법			society	high	Everyone must follow the law.	모두가 법을 따라야 한다.
right	7	middle_1	noun	권리			society	high	Every child has a right to learn.	모든 아이는 배울 권리가 있다.
duty	7	middle_1	noun	의무			society	mid	It is my duty to help them.	그들을 돕는 것은 내 의무다.
freedom	7	middle_1	noun	자유			society	high	Birds have freedom in the sky.	새들은 하늘에서 자유를 누린다.
peace	7	middle_1	noun	평화			society|emotion	high	The quiet village is full of peace.	조용한 마을은 평화로 가득하다.
justice	7	middle_1	noun	정의			society	mid	The story is about justice.	그 이야기는 정의에 관한 것이다.
citizen	7	middle_1	noun	시민			society	mid	Every citizen votes in the election.	모든 시민이 선거에서 투표한다.
public	7	middle_1	noun	대중			society	mid	The museum is open to the public.	그 박물관은 대중에게 열려 있다.
election	7	middle_1	noun	선거			society	mid	The election is next month.	선거는 다음 달이다.
tax	7	middle_1	noun	세금			society|money	mid	People pay tax to the government.	사람들은 정부에 세금을 낸다.
money	7	middle_1	noun	돈			money|daily	high	I save money for a bicycle.	나는 자전거를 위해 돈을 모은다.
price	7	middle_1	noun	가격			money	high	The price of this coat is high.	이 외투의 가격은 비싸다.
cost	7	middle_1	noun	비용			money	high	The cost of the trip is small.	그 여행의 비용은 적다.
business	7	middle_1	noun	사업			money|job	mid	My aunt started a small business.	우리 이모가 작은 사업을 시작했다.
company	7	middle_1	noun	회사			money|job	high	My dad works for a big company.	우리 아빠는 큰 회사에서 일한다.
trade	7	middle_1	noun	무역			money|society	mid	Trade between the two countries grew.	두 나라 사이의 무역이 늘었다.
career	7	middle_1	noun	경력			job	mid	Her career as a nurse is long.	간호사로서 그녀의 경력은 길다.
technology	7	middle_1	noun	기술			science|society	high	New technology helps every student.	새 기술은 모든 학생을 돕는다.
invention	7	middle_1	noun	발명품			science	mid	The wheel was a great invention.	바퀴는 위대한 발명품이었다.
experiment	7	middle_1	noun	실험			science|study	mid	The science experiment was safe.	그 과학 실험은 안전했다.
theory	7	middle_1	noun	이론			science|thought	mid	His theory explains the result.	그의 이론은 그 결과를 설명한다.
research	7	middle_1	noun	연구			science|study	mid	Her research is about ocean animals.	그녀의 연구는 바다 동물에 관한 것이다.
data	7	middle_1	noun	자료			science|study	mid	The data shows a clear pattern.	그 자료는 분명한 양식을 보여 준다.
engine	7	middle_1	noun	엔진			machine|transport	mid	The engine of this bus is strong.	이 버스의 엔진은 강하다.
battery	7	middle_1	noun	건전지			machine|thing	mid	My clock needs a new battery.	내 시계는 새 건전지가 필요하다.
signal	7	middle_1	noun	신호			machine|society	mid	Wait for the green signal.	초록 신호를 기다려라.
screen	7	middle_1	noun	화면			machine|thing	high	The computer screen is bright.	컴퓨터 화면이 밝다.
device	7	middle_1	noun	장치			machine|thing	mid	This small device measures speed.	이 작은 장치는 속도를 잰다.
program	7	middle_1	noun	프로그램			machine|study	high	I use a program for my homework.	나는 숙제에 프로그램을 사용한다.
network	7	middle_1	noun	망			machine|society	mid	The subway network covers the city.	지하철 망이 그 도시를 덮는다.
electricity	7	middle_1	noun	전기			science|machine	mid	Electricity moves the machine.	전기가 그 기계를 움직인다.
fuel	7	middle_1	noun	연료			science|transport	mid	The airplane needs more fuel.	그 비행기는 연료가 더 필요하다.
metal	7	middle_1	noun	금속			material	mid	This spoon is made of metal.	이 숟가락은 금속으로 만들어졌다.
plastic	7	middle_1	noun	플라스틱			material	high	Do not throw plastic into the river.	플라스틱을 강에 던지지 마라.
glass	7	middle_1	noun	유리			material	high	The window is made of glass.	그 창문은 유리로 만들어졌다.
wood	7	middle_1	noun	목재			material|nature	mid	This chair is made of wood.	이 의자는 목재로 만들어졌다.
paper	7	middle_1	noun	종이			material|school	high	Write your name on the paper.	종이에 네 이름을 써라.
cotton	7	middle_1	noun	면			material|clothes	mid	This shirt is soft cotton.	이 셔츠는 부드러운 면이다.
necessary	7	middle_1	adjective	필요한			quality	high	Water is necessary for every plant.	물은 모든 식물에 필요하다.
enough	7	middle_1	adjective	충분한			quantity|quality	high	We have enough bread for lunch.	우리는 점심에 충분한 빵이 있다.
empty	7	middle_1	adjective	빈			quality|size	high	The bowl on the desk is empty.	책상 위의 그릇은 비어 있다.
full	7	middle_1	adjective	가득한			quality|size	high	My bag is full of books.	내 가방은 책으로 가득하다.
several	7	middle_1	adjective	몇몇의			quantity	mid	Several students joined the contest.	몇몇 학생이 그 대회에 참가했다.
various	7	middle_1	adjective	다양한			quantity|quality	mid	The market sells various fruits.	그 시장은 다양한 과일을 판다.
certain	7	middle_1	adjective	확실한			quality|thought	mid	I am certain about the answer.	나는 그 답에 확실하다.
clear	7	middle_1	adjective	분명한			quality	high	Her voice is clear and calm.	그녀의 목소리는 분명하고 침착하다.
exact	7	middle_1	adjective	정확한			quality	mid	Tell me the exact time.	정확한 시간을 말해 줘.
correct	7	middle_1	adjective	옳은			quality|study	high	Your answer is correct.	네 답은 옳다.
wrong	7	middle_1	adjective	틀린			quality|study	high	My first guess was wrong.	내 첫 짐작은 틀렸다.
true	7	middle_1	adjective	참인			quality|thought	high	This story is true.	이 이야기는 참이다.
false	7	middle_1	adjective	거짓인			quality|thought	mid	His answer was false.	그의 답은 거짓이었다.
main	7	middle_1	adjective	주요한			quality	high	The main reason is very simple.	주요한 이유는 아주 간단하다.
local	7	middle_1	adjective	지역의			place|society	mid	The local market opens early.	지역 시장은 일찍 문을 연다.
national	7	middle_1	adjective	전국의			place|society	mid	This is a national contest.	이것은 전국 대회다.
foreign	7	middle_1	adjective	외국의			place|language	mid	She studies a foreign language.	그녀는 외국어를 공부한다.
global	7	middle_1	adjective	세계적인			place|society	mid	Global weather is changing fast.	세계적인 날씨가 빠르게 바뀌고 있다.
total	7	middle_1	adjective	전체의			quantity	mid	The total price is one hundred.	전체 가격은 백이다.
single	7	middle_1	adjective	하나의			quantity	mid	Not a single cloud is in the sky.	하늘에 구름 하나도 없다.
double	7	middle_1	adjective	두 배의			quantity	mid	The double price is too high.	두 배의 가격은 너무 비싸다.
equal	7	middle_1	adjective	같은			quantity|quality	mid	Cut the cake into equal pieces.	케이크를 같은 조각으로 잘라라.
huge	7	middle_1	adjective	거대한			size	mid	A huge rock blocked the road.	거대한 바위가 길을 막았다.
tiny	7	middle_1	adjective	아주 작은			size	mid	A tiny ant walks on my hand.	아주 작은 개미가 내 손 위를 걷는다.
